Metnion 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	13.05.1998	3404	Azinphos-Methyl	% 25	Safa	
İlteriş Azinphos Methyl 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	01.08.1997	3237	Azinphos-Methyl	% 25	İlteriş	
Azotion 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	19.06.1998	3432	Azinphos-Methyl	% 25	Polisan	
Flocotnion M 20 SC	İnsektisitler	Sıvı Formülasyonlar	21.12.1999	3696	Azinphos-Methyl	193 g/l	Flogaz	
Gusathion M EC 20	İnsektisitler	Sıvı Formülasyonlar	28.02.1966	453	Azinphos-Methyl	230 g/l	Bayer	
Gusathion M EC 20	İnsektisitler	Sıvı Formülasyonlar	28.05.1971	747	Azinphos-Methyl	230 g/l	Bayer	
Midiltipi Azinphos-M % 20 EC	İnsektisitler	Sıvı Formülasyonlar	26.03.1979	1499	Azinphos-Methyl	230 g/l	Midiltipi	
K.Metil Kotniyon 23 EM	İnsektisitler	Sıvı Formülasyonlar	16.07.1984	1670	Azinphos-Methyl	230 g/l	Koruma	
Methazin 23 EM	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1691	Azinphos-Methyl	230 g/l	Takimsan	
Cotnion'H 23 EM	İnsektisitler	Sıvı Formülasyonlar	29.09.1987	2048	Azinphos-Methyl	230 g/l	Hektaş	
Kimphos 20 EC	İnsektisitler	Sıvı Formülasyonlar	08.04.1988	2155	Azinphos-Methyl	230 g/l	Kimyagerler	
Azinphos T 20 EC	İnsektisitler	Sıvı Formülasyonlar	12.08.1988	2181	Azinphos-Methyl	230 g/l 	Agro-San	
Azotion 23 EC	İnsektisitler	Sıvı Formülasyonlar	13.06.1989	2319	Azinphos-Methyl	230 g/l	Polisan	
Bromo EC 40	İnsektisitler	Sıvı Formülasyonlar	19.09.1985	1799	Bromophos	360 g/l	Agro-San	
Birlane % 24 EC	İnsektisitler	Sıvı Formülasyonlar	13.11.1991	2485	Chlorfenvinphos	240 g/l	Atabay	
Birlane 24 EC	İnsektisitler	Sıvı Formülasyonlar	30.12.1994	2784	Chlorfenvinphos	240 g/l	Basf	
Birlane 24 EC 	İnsektisitler	Sıvı Formülasyonlar	15.07.1998	3453	Chlorfenvinphos	240 g/l	Basf	
Birfas 20/150 EC	İnsektisitler	Sıvı Formülasyonlar	02.07.1999	3650	Chlorfenvinphos+Alphacyper	150+020 g/l	Basf	
Birfas 20/150 EC	İnsektisitler	Sıvı Formülasyonlar	29.02.2000	3730	Chlorfenvinphos+Alphacyper	150+020 g/l	Basf	
Korban 2 Dust	İnsektisitler	Toz Formülasyonlar	28.01.1981	1376	Chlorpyrıfos-Ethyl	% 2	Koruma	
Pyrinex 2 Dust	İnsektisitler	Toz Formülasyonlar	24.02.1992	1490	Chlorpyrifos-Ethyl	% 2	Hektaş	
Priban 2 Toz	İnsektisitler	Toz Formülasyonlar	22.05.1986	1907	Chlorpyrifos-Ethyl	% 2	Takimsan	
Terpan 2 Toz	İnsektisitler	Toz Formülasyonlar	11.09.1986	1937	Chlorpyrifos-Ethyl	% 2	Midiltipi	
Agrosban 7 	İnsektisitler	Toz Formülasyonlar	07.04.1987	1992	Chlorpyrifos-Ethyl	% 2	Agro-San	
